Date,Open,High,Low,Close,Volume,Ticker,Company,Daily_Return,Cumulative_Return,MA_50,MA_200,Volatility_30D,Year,Month,Quarter,Year_Month
2024-02-20,180.15046783149373,180.78469520216956,178.3766181157698,179.92254638671875,53665600,AAPL,Apple,,0.0,179.92254638671875,179.92254638671875,,2024,2,1,2024-02
2024-02-21,180.2991272502037,181.24055639365764,179.03067248659073,180.6757049560547,41371400,AAPL,Apple,0.41860155075681416,0.41860155075681416,180.29912567138672,180.29912567138672,,2024,2,1,2024-02
2024-02-22,181.82524161821627,183.29190480468336,180.81445159653885,182.70721435546875,52292200,AAPL,Apple,1.1243954464758676,1.5477037340082767,181.10182189941406,181.10182189941406,0.4990716497830137,2024,2,1,2024-02
2024-02-23,183.3414349937225,183.3711632214272,180.58650833781007,180.8739013671875,45119700,AAPL,Apple,-1.0034157626170215,0.5287580681655912,181.04484176635742,181.04484176635742,1.0838095469462155,2024,2,1,2024-02
2024-02-26,180.59641504961763,181.11171437415507,179.0207434868858,179.52615356445312,40867400,AAPL,Apple,-0.7451311618464795,-0.22031303481756526,180.74110412597656,180.74110412597656,0.9984977593412534,2024,2,1,2024-02
2024-02-27,179.4666949255866,182.2612539462515,177.94057546451762,180.9828948974609,54318900,AAPL,Apple,0.8114368319515064,0.5893360960238292,180.78140258789062,180.78140258789062,0.9469115538633681,2024,2,1,2024-02
2024-02-28,180.8639793914523,181.46847854843008,178.50545433930714,179.7838134765625,48953900,AAPL,Apple,-0.6625385352454272,-0.07710701795986541,180.6388898577009,180.6388898577009,0.905362707548799,2024,2,1,2024-02
2024-02-29,179.63517226295397,180.9234508895373,177.9108594746495,179.11985778808594,136682600,AAPL,Apple,-0.3693078234560443,-0.44613007916614045,180.44901084899902,180.44901084899902,0.8375968722791536,2024,2,1,2024-02
2024-03-01,177.93067957222544,178.90183692569337,175.78025215753124,178.03968811035156,73563100,AAPL,Apple,-0.6030429518385949,-1.0464826750062994,180.18130832248264,180.18130832248264,0.7988059292860278,2024,3,1,2024-03
2024-03-04,174.5613464945542,175.3045824548566,172.2226300679557,173.5208282470703,81510100,AAPL,Apple,-2.538119399805061,-3.5580410950214247,179.5152603149414,179.5152603149414,1.096997303283795,2024,3,1,2024-03
