Date,Open,High,Low,Close,Volume,Ticker,Company
2024-02-20,180.15046783149373,180.78469520216953,178.3766181157698,179.92254638671875,53665600,AAPL,Apple
2024-02-21,180.2991272502037,181.24055639365764,179.03067248659073,180.6757049560547,41371400,AAPL,Apple
2024-02-22,181.82524161821627,183.29190480468338,180.81445159653885,182.70721435546875,52292200,AAPL,Apple
2024-02-23,183.34143499372246,183.3711632214272,180.58650833781007,180.8739013671875,45119700,AAPL,Apple
2024-02-26,180.59641504961763,181.11171437415507,179.0207434868858,179.52615356445312,40867400,AAPL,Apple
2024-02-27,179.4666949255866,182.2612539462515,177.94057546451762,180.98289489746094,54318900,AAPL,Apple
2024-02-28,180.8639793914523,181.46847854843006,178.50545433930714,179.7838134765625,48953900,AAPL,Apple
2024-02-29,179.63517226295397,180.92345088953732,177.9108594746495,179.11985778808594,136682600,AAPL,Apple
2024-03-01,177.93067957222544,178.90183692569335,175.78025215753124,178.03968811035156,73563100,AAPL,Apple
2024-03-04,174.56134649455421,175.30458245485661,172.2226300679557,173.5208282470703,81510100,AAPL,Apple
2024-03-05,169.21996658252752,170.48842147609815,168.09024847040442,168.5857391357422,95132400,AAPL,Apple
2024-03-06,169.5172632726602,169.69564777442116,167.1587228770791,167.59475708007812,68587700,AAPL,Apple
2024-03-07,167.62445594378354,169.1902079797121,166.97041987504164,167.47581481933594,71765100,AAPL,Apple
2024-03-08,167.4758228221548,172.13343143853632,167.41636636953461,169.19021606445312,76267000,AAPL,Apple
2024-03-11,171.38030546468005,172.80732093128213,170.49833272784605,171.1920166015625,60139500,AAPL,Apple
2024-03-12,171.58838326620315,172.46045153320196,169.4676841705973,171.66766357421875,59825400,AAPL,Apple
2024-03-13,171.21183277143888,171.62804307697533,169.21995080494636,169.5866241455078,52488700,AAPL,Apple
2024-03-14,171.35055836544484,172.73792596009017,170.49831395125625,171.4397430419922,72913500,AAPL,Apple
2024-03-15,169.62625165850892,171.06317138671875,168.75418335618096,171.06317138671875,121752700,AAPL,Apple
2024-03-18,173.98658058844927,176.107279800922,171.95506605696912,172.15325927734375,75604200,AAPL,Apple
2024-03-19,172.76766112194616,175.01719271038215,171.46947815172825,174.49197387695312,55215200,AAPL,Apple
2024-03-20,174.1352174960067,177.05860900878906,173.51089450186836,177.05860900878906,53423100,AAPL,Apple
2024-03-21,175.45322885093574,175.8892630091755,169.29922879245808,169.82444763183594,106181300,AAPL,Apple
2024-03-22,170.21092760104455,171.48930183291895,168.52626256417108,170.7262420654297,71160100,AAPL,Apple
2024-03-25,169.03170000930652,170.38933965120722,167.92179058941932,169.30917358398438,54288300,AAPL,Apple
2024-03-26,168.46682128354186,169.8740129173693,168.05061095138228,168.179443359375,57388400,AAPL,Apple
2024-03-27,168.87310882923745,172.0343412561863,168.575811446925,171.7469482421875,60273300,AAPL,Apple
